objectid,cdmid,title,bill_number,public_act_number,format,date_published
cdm148612,148612,Public Act,1975-HB-5314,1976-PA-390,application/pdf,1976
cdm148501,148501,Senate Journal Entries,1975-HB-5314,1976-PA-390,application/pdf,1976
cdm148503,148503,House Journal Entries,1975-HB-5314,1976-PA-390,application/pdf,1976
cdm148498,148498,Bill Analysis,1975-HB-5314,1976-PA-390,application/pdf,1975-07-29
cdm148502,148502,Bill Analysis,1975-HB-5314,1976-PA-390,application/pdf,1975-06-05
cdm148699,148699,Enrolled Bill,1975-HB-5314,1976-PA-390,application/pdf,1976
cdm148701,148701,Introduced Bill,1975-HB-5314,1976-PA-390,application/pdf,1975-06-05
cdm148499,148499,Bill Analysis,1975-HB-5314,1976-PA-390,application/pdf,1975-07-29
cdm92960,92960,Bill Analysis,1993-SB-260,1993-PA-270,application/pdf,1993-02-10
cdm92961,92961,Bill Analysis,1993-SB-260,1993-PA-270,application/pdf,1993-11-23
cdm92962,92962,Bill Analysis,1993-SB-260,1993-PA-270,application/pdf,1994-04-14
cdm92963,92963,Bill Analysis,1993-HB-4591,1993-PA-252,application/pdf,1994-06-27
cdm93378,93378,Bill Analysis,1995-SB-604;1995-SB-749;1995-SB-750;1995-SB-751,1996-PA-305;1996-PA-306;1996-PA-307;1996-PA-308,application/pdf,1996-01-30
cdm93379,93379,Bill Analysis,1995-SB-604;1995-SB-749;1995-SB-750;1995-SB-751,1996-PA-305;1996-PA-306;1996-PA-307;1996-PA-308,application/pdf,1996-05-21
cdm93380,93380,Bill Analysis,1995-SB-604;1995-SB-749;1995-SB-750;1995-SB-751,1996-PA-305;1996-PA-306;1996-PA-307;1996-PA-308,application/pdf,1996-06-24
cdm93405,93405,Bill Analysis,1981-SB-242,1981-PA-155,application/pdf,1981-10-26
cdm93433,93433,Bill Analysis,1995-SB-525,1995-PA-290,application/pdf,1995-06-14
cdm93434,93434,Bill Analysis,1995-SB-525,1995-PA-290,application/pdf,1995-12-05
cdm93435,93435,Bill Analysis,1995-SB-525,1995-PA-290,application/pdf,1996-02-09
cdm93462,93462,Bill Analysis,1989-SB-568,1990-PA-1,application/pdf,1990-01-16
cdm93463,93463,Bill Analysis,1989-SB-568,1990-PA-1,application/pdf,1990-06-11
cdm93466,93466,Bill Analysis,1993-SB-48;1993-SB-49;1993-SB-50;1993-SB-51;1993-SB-52;1993-SB-346;1993-SB-568,1993-PA-195;1993-PA-196;1993-PA-197;1993-PA-198;1993-PA-199;1993-PA-200;1993-PA-201,application/pdf,1993-05-11
cdm93467,93467,Bill Analysis,1993-SB-48;1993-SB-49;1993-SB-50;1993-SB-51;1993-SB-52;1993-SB-346;1993-SB-568,1993-PA-195;1993-PA-196;1993-PA-197;1993-PA-198;1993-PA-199;1993-PA-200;1993-PA-201,application/pdf,1993-09-15
cdm93468,93468,Bill Analysis,1993-SB-48;1993-SB-49;1993-SB-50;1993-SB-51;1993-SB-52;1993-SB-346;1993-SB-568,1993-PA-195;1993-PA-196;1993-PA-197;1993-PA-198;1993-PA-199;1993-PA-200;1993-PA-201,application/pdf,1994-08-18
cdm93470,93470,Bill Analysis,1993-HB-4534,1993-PA-249,application/pdf,1993-07-20
cdm93471,93471,Bill Analysis,1993-HB-4534,1993-PA-249,application/pdf,1993-03-30
cdm93505,93505,Bill Analysis,1991-HB-4761;1991-HB-4762;1991-HB-4763;1991-HB-4764;1991-HB-4765;1991-HB-4766;1991-HB-4767;,1991-PA-47;1991-PA-48;1991-PA-49;1991-PA-50;1991-PA-51;1991-PA-52;1991-PA-53;1991-PA-54,application/pdf,1991-06-04
cdm93506,93506,Bill Analysis,1991-HB-4761;1991-HB-4762;1991-HB-4763;1991-HB-4764;1991-HB-4765;1991-HB-4766;1991-HB-4767;1991-HB-4768;1991-HB-4884,1991-PA-46;1991-PA-47;1991-PA-48;1991-PA-49;1991-PA-50;1991-PA-51;1991-PA-52;1991-PA-53;1991-PA-54,application/pdf,1991-06-10
cdm93507,93507,Bill Analysis,1991-HB-4761;1991-HB-4762;1991-HB-4763;1991-HB-4764;1991-HB-4765;1991-HB-4766;1991-HB-4767;1991-HB-4884,1991-PA-46;1991-PA-47;1991-PA-48;1991-PA-49;1991-PA-50;1991-PA-51;1991-PA-52;1991-PA-53,application/pdf,1991-08-01
cdm93728,93728,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-02-16
cdm93729,93729,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-06-14
cdm93731,93731,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-06-04
cdm93732,93732,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-07-06
cdm93733,93733,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-05-22
cdm93734,93734,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-02-28
cdm93735,93735,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-03-13
cdm93736,93736,Bill Analysis,1979-HB-4112,1979-PA-53,application/pdf,1979-03-20
cdm93757,93757,Bill Analysis,1976-SB-1672,1976-PA-449,application/pdf,1976-12-30
cdm93758,93758,Bill Analysis,1976-SB-1672,1976-PA-449,application/pdf,1976-09-21
cdm93759,93759,Bill Analysis,1976-SB-1672,1976-PA-449,application/pdf,1976-12-06
cdm93761,93761,Bill Analysis,1984-SB-611,1984-PA-344,application/pdf,1984-12-19
cdm93762,93762,Bill Analysis,1984-SB-611,1984-PA-344,application/pdf,1984-02-03
cdm93764,93764,House Bills,1996-HB-5748,1996-PA-326,application/pdf,1979
cdm93765,93765,Bill Analysis,1996-HB-5748;1996-HB-5749;1996-HB-5750;1996-HB-5751;1996-HB-5752;1996-HB-5753;1996-HB-5754;1996-HB-5755,1996-PA-326;1996-PA-327;1996-PA-328;1996-PA-329;1996-PA-330;1996-PA-331;1996-PA-332;1996-PA-333,application/pdf,1996-05-07
cdm93766,93766,Bill Analysis,1996-HB-5748;1996-HB-5749;1996-HB-5750;1996-HB-5751;1996-HB-5752;1996-HB-5753;1996-HB-5754;1996-HB-5755,1996-PA-326;1996-PA-327;1996-PA-328;1996-PA-329;1996-PA-330;1996-PA-331;1996-PA-332;1996-PA-333,application/pdf,1996-08-05
cdm93767,93767,House Bills,1996-HB-5748,1996-PA-326,application/pdf,1996-06-13
cdm93768,93768,House Bills,1996-HB-5748,1996-PA-326,application/pdf,1996-04-25
cdm93770,93770,Bill Analysis,1985-HB-4059;1985-HB-4060;1985-HB-4061;1985-HB-4062;1985-HB-4063;1985-HB-4064;1985-HB-4065;1985-HB-4066;1985-HB-4067,1985-PA-34;1985-PA-35;1985-PA-36;1985-PA-37;1985-PA-38;1985-PA-39;1985-PA-40;1985-PA-41;1985-PA-42,application/pdf,1985-02-20
cdm94184,94184,Bill Analysis,1973-SB-698,1974-PA-154,application/pdf,1974
cdm94185,94185,Bill Analysis,1973-SB-698,1974-PA-154,application/pdf,1974-05-10
cdm94186,94186,Bill Analysis,1973-SB-698,1974-PA-154,application/pdf,1974-05-16
cdm94365,94365,Bill Analysis,1993-HB-4658,1994-PA-420,application/pdf,1993-07-01
cdm94366,94366,Bill Analysis,1993-HB-4348;1993-HB-4658,1994-PA-419;1994-PA-420,application/pdf,1995-01-09
cdm94367,94367,Bill Analysis,1993-HB-4348;1993-HB-4658,1994-PA-419;1994-PA-420,application/pdf,1994-05-19
cdm94368,94368,Bill Analysis,1993-HB-4348;1993-HB-4658,1994-PA-419;1994-PA-420,application/pdf,1994-09-02
cdm94369,94369,Bill Analysis,1993-HB-4348;1993-HB-4658,1994-PA-419;1994-PA-420,application/pdf,1994-12-12
cdm94370,94370,House Bills,1993-HB-4658,1994-PA-420,application/pdf,1994-12-22
cdm94371,94371,House Bills,1993-HB-4658,1994-PA-420,application/pdf,1993-04-27
cdm94372,94372,House Bills,1993-HB-4658,1994-PA-420,application/pdf,1993-12-22
cdm94373,94373,House Bills,1993-HB-4658,1994-PA-420,application/pdf,1994-07-06
cdm94433,94433,Bill Analysis,1993-HB-4348,1994-PA-419,application/pdf,1994-05-09
cdm94449,94449,Bill Analysis,1990-SB-894,1990-PA-166,application/pdf,1990-6-26
cdm94450,94450,Bill Analysis,1990-SB-894,1990-PA-166,application/pdf,1990-04-30
cdm94451,94451,Bill Analysis,1990-SB-894,1990-PA-166,application/pdf,1990-05-29
cdm94453,94453,Bill Analysis,1988-HB-1041,1988-PA-491,application/pdf,1988-11-17
cdm94454,94454,Senate Bills,1988-SB-1041,1988-PA-491,application/pdf,1988-11-10
cdm94476,94476,Senate Bills,1993-SB-270,1993-PA-78,application/pdf,1993
cdm94477,94477,Bill Analysis,1993-SB-270;1993-HB-4403;1993-HB-4404,1993-PA-78,application/pdf,1993-04-01
cdm94478,94478,Bill Analysis,1993-SB-270;1993-HB-4033;1993-HB-4403;1993-HB-4404,1993-PA-78,application/pdf,1993-04-20
cdm94479,94479,Bill Analysis,1993-SB-270,1993-PA-78,application/pdf,1993-02-04
cdm94480,94480,Bill Analysis,1993-SB-270,1993-PA-78,application/pdf,1993-08-11
cdm94481,94481,Senate Bills,1993-SB-270,1993-PA-78,application/pdf,1993
cdm94482,94482,Senate Bills,1993-SB-270,1993-PA-78,application/pdf,1993-01-28
cdm94483,94483,Senate Bills,1993-SB-270,1993-PA-78,application/pdf,1993
cdm94828,94828,Bill Analysis,1975-HB-4640,1975-PA-228,application/pdf,1975-04-16
cdm94829,94829,Bill Analysis,1975-HB-4640,1975-PA-228,application/pdf,1975-05-30
cdm94830,94830,Bill Analysis,1975-HB-4640,1975-PA-228,application/pdf,1975-06-25
cdm94831,94831,Bill Analysis,1975-HB-4640,1975-PA-228,application/pdf,1975-07-22
cdm94832,94832,Bill Analysis,1975-HB-4640,1975-PA-228,application/pdf,1975-08-12
cdm95006,95006,Bill Analysis,1987-SB-318,1987-PA-97,application/pdf,1987-10-29
cdm95007,95007,Bill Analysis,1987-SB-318,1987-PA-97,application/pdf,1987-06-03
cdm95008,95008,Bill Analysis,1987-SB-318,1987-PA-97,application/pdf,1987-06-30
cdm95010,95010,Bill Analysis,1989-SB-181,1989-PA-121,application/pdf,1989-04-25
cdm95011,95011,Bill Analysis,1989-SB-181,1989-PA-121,application/pdf,1989=07-24
cdm95259,95259,Bill Analysis,1981-SB-240,1982-PA-216,application/pdf,1982-09-13
cdm95260,95260,Bill Analysis,1981-SB-240;1981-SB-315;1981-SB-360;1981-HB-5388,1982-PA-393;1982-PA-216,application/pdf,1982-03-25
cdm95261,95261,Bill Analysis,1981-SB-240,1982-PA-216,application/pdf,1981-06-02
cdm95262,95262,Bill Analysis,1981-SB-240,1982-PA-216,application/pdf,1981-06-16
cdm95263,95263,Bill Analysis,1981-SB-240,1982-PA-216,application/pdf,1981-06-16
cdm95269,95269,Bill Analysis,1988-HB-4948,1988-PA-427,application/pdf,1988-11-23
cdm95270,95270,Bill Analysis,1988-HB-4948,1988-PA-427,application/pdf,1988-02-04
cdm95271,95271,Bill Analysis,1988-HB-4948,1988-PA-427,application/pdf,1988-03-02
cdm95273,95273,Bill Analysis,1988-SB-878,1988-PA-390,application/pdf,1988-05-25
cdm95274,95274,Bill Analysis,1988-SB-878,1988-PA-390,application/pdf,1989-02-27
cdm95276,95276,Bill Analysis,1992-HB-4412,1992-PA-98,application/pdf,1992-02-24
cdm95278,95278,Bill Analysis,1995-HB-4358;1995-HB-4404;1995-HB-4605;1995-SB-342;1995-SB-472;1995-SB-545,1995-PA-282;1995-PA-291;1995-PA-285;1995-PA-284;1995-PA-230;1995-PA-283,application/pdf,1995-11-29
cdm95279,95279,Bill Analysis,1995-HB-4358;1995-HB-4404;1995-HB-4605;1995-SB-342;1995-SB-472;1995-SB-545,1995-PA-282;1995-PA-291;1995-PA-285;1995-PA-284;1995-PA-230;1995-PA-283,application/pdf,1996-02-08
cdm95280,95280,Bill Analysis,1995-HB-4358;1995-HB-4404;1995-HB-4605;1995-SB-342;1995-SB-472;1995-SB-545,1995-PA-282;1995-PA-291;1995-PA-285;1995-PA-284;1995-PA-230;1995-PA-283,application/pdf,1996-03-07
cdm95281,95281,Bill Analysis,1995-HB-4358,1995-PA-284,application/pdf,1995-02-08
cdm95451,95451,Bill Analysis,1981-HB-4067,1981-PA-7,application/pdf,1981-04-15
cdm95452,95452,Bill Analysis,1981-HB-4067,1981-PA-7,application/pdf,1981-03-02
cdm95612,95612,Bill Analysis,1987-HB-4072,1987-PA-243,application/pdf,1987-12-18
cdm95613,95613,Bill Analysis,1987-HB-4072,1987-PA-243,application/pdf,1987-03-11
cdm95614,95614,Bill Analysis,1987-HB-4072,1987-PA-243,application/pdf,1987-12-08
cdm95619,95619,Bill Analysis,1993-HB-4801;1994-HB-5278;1993-HB-4958;1993-HB-5090;1994-HB-5614;1993-SB-145;1994-SB-1145,1994-PA-269;1994-PA-268;1994-PA-248;1994-PA-246;1994-PA-245;1994-PA-249;1994-PA-247,application/pdf,1994-06-14
cdm95636,95636,Bill Analysis,1987-HB-4106,1987-PA-145,application/pdf,1987-10-21
cdm95637,95637,Bill Analysis,1987-HB-4106,1987-PA-145,application/pdf,1987-03-12
cdm95638,95638,Bill Analysis,1987-HB-4106,1987-PA-145,application/pdf,1987-10-06
cdm95641,95641,Bill Analysis,1987-SB-228,1988-PA-199,application/pdf,1988-06-08
cdm95642,95642,Bill Analysis,1987-SB-228,1988-PA-199,application/pdf,1988-07-01
cdm95643,95643,Bill Analysis,1987-SB-228,1988-PA-199,application/pdf,1987-06-23
cdm95645,95645,Bill Analysis,1989-SB-100,1990-PA-190,application/pdf,1989-03-17
cdm95646,95646,Bill Analysis,1989-SB-100,1990-PA-190,application/pdf,1989-02-21
cdm95648,95648,Bill Analysis,1989-SB-175,1990-PA-72,application/pdf,1989-04-18
cdm95649,95649,Senate Bills,1989-SB-175,1990-PA-72,application/pdf,1989
cdm95650,95650,Bill Analysis,1989-SB-175,1990-PA-72,application/pdf,1989-08-16
cdm95651,95651,Bill Analysis,1989-SB-175,1990-PA-72,application/pdf,1989-12-11
cdm95652,95652,Bill Analysis,1989-SB-175,1990-PA-72,application/pdf,1989-10-09
cdm95653,95653,Senate Bills,1989-SB-175,1990-PA-72,application/pdf,1989
cdm95654,95654,Bill Analysis,1989-SB-175,1990-PA-72,application/pdf,1990-04-11
cdm95655,95655,Senate Bills,1989-SB-175,1990-PA-72,application/pdf,1989-12-19
cdm95656,95656,Senate Bills,1989-SB-175,1990-PA-72,application/pdf,1989
cdm95658,95658,Public Act,1984-HB-5770,1984-PA-341,application/pdf,1984
cdm95659,95659,Bill Analysis,1984-HB-5770,1984-PA-341,application/pdf,1984-11-28
cdm95661,95661,Bill Analysis,1989-HB-4412,1989-PA-296,application/pdf,1989-03-22
cdm95662,95662,Bill Analysis,1989-HB-4412,1989-PA-296,application/pdf,1989-12-07
cdm95663,95663,Bill Analysis,1989-HB-4412,1989-PA-296,application/pdf,1990-1-08
cdm95676,95676,Bill Analysis,1975-HB-5266,1976-PA-410,application/pdf,1975-06-26
cdm95677,95677,Bill Analysis,1977-HB-4251,1977-PA-130,application/pdf,1977-12-01
cdm95678,95678,Bill Analysis,1977-HB-4251,1977-PA-130,application/pdf,1977-03-15
cdm95679,95679,Bill Analysis,1977-HB-4251,1977-PA-130,application/pdf,1977-06-28
cdm95681,95681,Bill Analysis,1979-HB-4252,1979-PA-49,application/pdf,1979-07-03
cdm95682,95682,Bill Analysis,1979-HB-4252,1979-PA-49,application/pdf,1979-03-13
cdm95683,95683,Bill Analysis,1979-HB-4252,1979-PA-49,application/pdf,1979-04-04
cdm95689,95689,Bill Analysis,1983-HB-4233,1984-PA-426,application/pdf,1987-03-30
cdm95690,95690,Bill Analysis,1983-HB-4233,1984-PA-426,application/pdf,1985-01-09
cdm95691,95691,Bill Analysis,1983-HB-4223,1984-PA-426,application/pdf,1984-11-14
cdm95692,95692,Bill Analysis,1983-HB-4233,1984-PA-426,application/pdf,1984-11-27
cdm95694,95694,Bill Analysis,1984-HB-5373,1984-PA-210,application/pdf,1984-07-16
cdm95695,95695,Bill Analysis,1984-HB-5373,1984-PA-210,application/pdf,1984-05-14
cdm95697,95697,Bill Analysis,1984-HB-5454,1984-PA-215,application/pdf,1984-07-23
cdm95698,95698,Bill Analysis,1984-HB-5454,1984-PA-215,application/pdf,1984-05-30
cdm95700,95700,Bill Analysis,1984-HB-5540,1984-PA-363,application/pdf,1984-06-26
cdm95701,95701,Bill Analysis,1985-HB-4526,1986-PA-94,application/pdf,1986-07-02
cdm95702,95702,Bill Analysis,1985-HB-4526,1986-PA-94,application/pdf,1986-02-25
cdm95703,95703,Bill Analysis,1985-HB-4526,1986-PA-94,application/pdf,1985-06-04
cdm95705,95705,Bill Analysis,1988-HB-5624,1988-PA-408,application/pdf,1988-11-30
cdm95706,95706,Bill Analysis,1988-HB-5624,1988-PA-408,application/pdf,1989-01-04
cdm95707,95707,Bill Analysis,1988-HB-5624,1988-PA-408,application/pdf,1988-05-20
cdm95708,95708,Bill Analysis,1988-HB-5624,1988-PA-408,application/pdf,1988-06-07
cdm95712,95712,Bill Analysis,1993-HB-4403;1993-HB-4404;1993-HB-4405;1993-HB-4406,,application/pdf,1993-03-31
cdm95713,95713,Bill Analysis,1993-HB-4591,1993-PA-252,application/pdf,1993-07-01
cdm95714,95714,Bill Analysis,1993-HB-4591,1993-PA-252,application/pdf,1993-06-09
cdm95719,95719,Bill Analysis,1993-HB-4558,1994-PA-200,application/pdf,1994-01-25
cdm95720,95720,Bill Analysis,1993-HB-4558,1994-PA-200,application/pdf,1994-04-12
cdm95721,95721,Bill Analysis,1993-HB-4558,1994-PA-200,application/pdf,1994-07-18
cdm95722,95722,House Bills,1993-HB-4558,1994-PA-200,application/pdf,1994-06-15
cdm95723,95723,House Bills,1993-HB-4558,1994-PA-200,application/pdf,1994
cdm95724,95724,House Bills,1993-HB-4558,1994-PA-200,application/pdf,1994-04-12
cdm95726,95726,Bill Analysis,1979-HB-4114,1980-PA-299,application/pdf,1979-02-26
cdm95727,95727,Bill Analysis,1979-HB-4114,1980-PA-299,application/pdf,1980-11-12
cdm95728,95728,Bill Analysis,1979-HB-4114,1980-PA-299,application/pdf,1979-11-27
cdm95729,95729,Bill Analysis,1979-HB-4114,1980-PA-299,application/pdf,1979-04-13
cdm95764,95764,House Bills,1977-HB-4965,1978-PA-33,application/pdf,1978
cdm95765,95765,Bill Analysis,1977-HB-4965,1978-PA-33,application/pdf,1978-02-08
cdm95766,95766,Bill Analysis,1977-HB-4965,1978-PA-33,application/pdf,1977-06-23
cdm95768,95768,House Bills,1979-HB-4729,1979-PA-103,application/pdf,1979
cdm95769,95769,Bill Analysis,1979-HB-4729,1979-PA-103,application/pdf,1979-07-02
cdm95770,95770,Bill Analysis,1979-HB-4729,1979-PA-103,application/pdf,1979-08-02
cdm95771,95771,House Bills,1979-HB-4729,1979-PA-103,application/pdf,1979
cdm95773,95773,Senate Bills,1979-SB-546,1980-PA-70,application/pdf,1979
cdm95774,95774,Bill Analysis,1979-SB-546,1980-PA-70,application/pdf,1980-02-20
cdm95775,95775,Bill Analysis,1979-SB-546,1980-PA-70,application/pdf,1980-02-07
cdm95777,95777,Bill Analysis,1979-SB-546,1980-PA-70,application/pdf,1979
cdm95778,95778,Bill Analysis,1979-SB-546,1980-PA-70,application/pdf,1979
cdm95779,95779,Senate Bills,1979-SB-546,1980-PA-70,application/pdf,1979
cdm95781,95781,Bill Analysis,1980-HB-5975,1980-PA-317,application/pdf,1980-11-13
cdm95782,95782,Bill Analysis,1980-HB-5975,1980-PA-317,application/pdf,1980-09-10
cdm95783,95783,Bill Analysis,1980-HB-5975,1980-PA-317,application/pdf,1980-09-17
cdm95933,95933,Bill Analysis,1987-SB-375,1988-PA-35,application/pdf,1988-11-03
cdm95934,95934,Bill Analysis,1987-SB-375,1988-PA-35,application/pdf,1987-10-29
cdm95940,95940,Bill Analysis,1981-HB-4715,1982-PA-307,application/pdf,1982-06-30
cdm95941,95941,Bill Analysis,1981-HB-4715,1982-PA-307,application/pdf,1982-05-27
cdm95942,95942,Bill Analysis,1981-HB-4715,1982-PA-307,application/pdf,1981-06-10
cdm95943,95943,Bill Analysis,1981-HB-4715,1982-PA-307,application/pdf,1982-06-10
cdm95945,95945,Bill Analysis,1993-HB-4601,1994-PA-355,application/pdf,1994-11-22
cdm95946,95946,Bill Analysis,1993-HB-4601,1994-PA-355,application/pdf,1994-06-21
cdm95948,95948,Bill Analysis,1995-HB-4236,1995-PA-121,application/pdf,1995-06-23
cdm95949,95949,Bill Analysis,1995-HB-4236,1995-PA-121,application/pdf,
cdm95951,95951,Bill Analysis,1996-HB-5726;1996-HB-5832,1996-PA-462,application/pdf,
cdm95952,95952,Bill Analysis,1996-HB-5832,1996-PA-462,application/pdf,
cdm95953,95953,Bill Analysis,1996-HB-5726;1996-HB-5832,1996-PA-462,application/pdf,
cdm95954,95954,Bill Analysis,1996-HB-5832,1996-PA-462,application/pdf,
cdm95956,95956,Bill Analysis,1983-HB-4360,1983-PA-113,application/pdf,
cdm96014,96014,Bill Analysis,1996-HB-5661;1996-HB-5662,1996-PA-334,application/pdf,
cdm96015,96015,Bill Analysis,1996-HB-5661;1996-HB-5662;1996-SB-937,1996-PA-334;1996-PA-324,application/pdf,
cdm96016,96016,Bill Analysis,1996-HB-5662;1996-SB-937,1996-PA-334;1996-PA-324,application/pdf,
cdm96017,96017,Bill Analysis,1996-HB-5662;1996-SB-937,1996-PA-334;1996-PA-324,application/pdf,
cdm96019,96019,Bill Analysis,1996-SB-937;1996-SB-938,1996-PA-324,application/pdf,
cdm96020,96020,Bill Analysis,1996-HB-5661;1996-HB-5662;1996-SB-937,1996-PA-324;1996-PA-334,application/pdf,
cdm96021,96021,Bill Analysis,1996-HB-5662;1996-SB-937,1996-PA-324;1996-PA-334,application/pdf,
cdm96022,96022,Bill Analysis,1996-HB-5662;1996-SB-937,1996-PA-324;1996-PA-334,application/pdf,
cdm96024,96024,Bill Analysis,1995-SB-668;1995-SB-669;1995-SB-670;1995-SB-671;1995-SB-672;1995-SB-673;1995-SB-674;1995-SB-675;1995-SB-676;,1996-PA-376;1996-PA-448;1996-PA-469;1996-PA-449;1996-PA-451;1996-PA-452;1996-PA-453;1996-PA-454;1996-PA-455,application/pdf,
cdm96025,96025,Bill Analysis,1995-SB-668;1995-SB-669;1995-SB-670;1995-SB-671;1995-SB-672;1995-SB-673;1995-SB-674;1995-SB-675;1995-SB-676;,1996-PA-376;1996-PA-448;1996-PA-469;1996-PA-449;1996-PA-451;1996-PA-452;1996-PA-453;1996-PA-454;1996-PA-455,application/pdf,
cdm96026,96026,Bill Analysis,1995-SB-668;1995-SB-669;1995-SB-670;1995-SB-671;1995-SB-672;1995-SB-673;1995-SB-674;1995-SB-675;1995-SB-676; 1995-HB-5190;1995-HB-5191;1995-HB-5194;1995-HB-5195;1995-HB-5196;1995-HB-5197;1995-HB-5198,1996-PA-376;1996-PA-448;1996-PA-469;1996-PA-449;1996-PA-451;1996-PA-452;1996-PA-453;1996-PA-454;1996-PA-455;1996-PA-441;1996-PA-442;1996-PA-444;1996-PA-445;1996-PA-446;1996-PA-450,application/pdf,
cdm96027,96027,Bill Analysis,1995-SB-668;1995-SB-669;1995-SB-670;1995-SB-671;1995-SB-672;1995-SB-673;1995-SB-674;1995-SB-675;1995-SB-676; 1995-HB-5190;1995-HB-5191;1995-HB-5194;1995-HB-5195;1995-HB-5196;1995-HB-5197;1995-HB-5198,1996-PA-376;1996-PA-448;1996-PA-469;1996-PA-449;1996-PA-451;1996-PA-452;1996-PA-453;1996-PA-454;1996-PA-455;1996-PA-441;1996-PA-442;1996-PA-444;1996-PA-445;1996-PA-446;1996-PA-450,application/pdf,
cdm96029,96029,Bill Analysis,1976-SB-1385,1976-PA-295,application/pdf,
cdm96030,96030,Bill Analysis,1976-SB-1385,1976-PA-295,application/pdf,
cdm96041,96041,Bill Analysis,1995-HB-4341,1995-PA-222,application/pdf,
cdm96042,96042,Bill Analysis,1995-HB-4341,1995-PA-222,application/pdf,
cdm96043,96043,Bill Analysis,1995-HB-4341,1995-PA-222,application/pdf,
cdm96045,96045,Bill Analysis,1983-SB-337,1984-PA-272,application/pdf,
cdm96046,96046,Bill Analysis,1995-SB-776;1995-SB-777,1995-PA-287;1995-PA-288,application/pdf,
cdm96047,96047,Bill Analysis,1981-SB-242,1981-PA-155,application/pdf,
cdm96054,96054,Bill Analysis,1989-SB-448,1989-PA-95,application/pdf,
cdm96105,96105,Bill Analysis,1975-SB-920,1976-PA-267,application/pdf,
cdm96106,96106,Bill Analysis,1975-SB-920,1976-PA-267,application/pdf,
cdm96107,96107,Bill Analysis,1975-SB-920,1976-PA-267,application/pdf,
cdm96248,96248,Bill Analysis,1977-HB-5555,1978-PA-390,application/pdf,
cdm96249,96249,Bill Analysis,1977-HB-5555,1978-PA-390,application/pdf,
cdm96250,96250,Bill Analysis,1977-HB-5555,1978-PA-390,application/pdf,
cdm96251,96251,Bill Analysis,1977-HB-5555,1978-PA-390,application/pdf,
cdm96265,96265,House Bills,1975-HB-4623,1976-PA-273,application/pdf,
cdm96266,96266,Bill Analysis,1975-HB-4623,1976-PA-273,application/pdf,
cdm96267,96267,Bill Analysis,1975-HB-4623,1976-PA-273,application/pdf,
cdm96268,96268,Bill Analysis,1975-HB-4623,1976-PA-273,application/pdf,
cdm96269,96269,Bill Analysis,1975-HB-4623,1976-PA-223,application/pdf,
cdm96270,96270,Bill Analysis,1975-HB-4623,1976-PA-273,application/pdf,
cdm96271,96271,House Journal Entries,1975-HB-4623,1976-PA-273,application/pdf,
cdm96272,96272,Senate Journal entries,1975-HB-4623,1976-PA-273,application/pdf,
cdm96273,96273,House Bills,1975-HB-4623,1976-PA-273,application/pdf,
cdm96277,96277,Bill Analysis,1977-HB-5830,1978-PA-260,application/pdf,
cdm96278,96278,Bill Analysis,1977-HB-5830,1978-PA-260,application/pdf,
cdm96279,96279,Bill Analysis,1977-HB-5830,1978-PA-260,application/pdf,
cdm96293,96293,Bill Analysis,1979-HB-5089,1980-PA-469,application/pdf,
cdm96294,96294,Bill Analysis,1979-HB-5088;1979-HB-5089,1980-PA-469;1980-PA-481,application/pdf,
cdm96295,96295,Bill Analysis,1979-HB-5088;1979-HB-5089,1980-PA-469;1980-PA-481,application/pdf,
cdm96296,96296,House Bills,1979-HB-5089,1980-PA-469,application/pdf,
cdm96298,96298,Bill Analysis,1987-SB-386;1987-SB-387,1988-PA-421,application/pdf,
cdm96299,96299,Bill Analysis,1987-SB-386;1987-SB-387,1988-PA-421,application/pdf,
cdm96300,96300,Bill Analysis,1987-SB-386,1988-PA-421,application/pdf,
cdm96301,96301,Bill Analysis,1987-SB-386,1988-PA-421,application/pdf,
cdm96303,96303,Bill Analysis,1975-SB-4,1976-PA-223,application/pdf,
cdm96304,96304,Bill Analysis,1975-SB-4,1976-PA-223,application/pdf,
cdm96309,96309,Bill Analysis,1981-HB-4054,1981-PA-93,application/pdf,
cdm96312,96312,House Journal Entries,1967-SB-350,1968-PA-352,application/pdf,
cdm96313,96313,Senate Journal Entries,1967-SB-350,1968-PA-352,application/pdf,
cdm96315,96315,Bill Analysis,1985-HB-4009;1985-HB-4545;1985-HB-4370,1985-PA-85;1985-PA-87;1985-PA-89,application/pdf,
cdm96316,96316,Bill Analysis,1985-HB-4009;1985-HB-4545;1985-HB-4370,1985-PA-85;1985-PA-87;1985-PA-89,application/pdf,
cdm96318,96318,Bill Analysis,1971-HB-5273,1972-PA-286,application/pdf,
cdm96319,96319,Bill Analysis,1971-HB-5273,1972-PA-286,application/pdf,
cdm96320,96320,Bill Analysis,1971-HB-5273,1972-PA-286,application/pdf,
